abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
NY,New York,2492.0,719.0,5097.0,374.0,36041.0,7363.0,25236.0,3037.0,4557.0,62912.0,16115.0,1644.0,1013.0,7519.0,2672.0,493.0,1812.0,2985.0,2294.0,2411.0,10576.0,21207.0,5983.0,2989.0,832.0,2490.0,560.0,758.0,3006.0,3182.0,55799.0,1221.0,N/A,25562.0,892.0,9994.0,1748.0,2854.0,39412.0,2673.0,10785.0,120.0,5513.0,21709.0,2160.0,3079.0,15947.0,6880.0,686.0,1896.0,186.0,259440.0,447485.0
NC,North Carolina,4061.0,1555.0,4876.0,1424.0,13196.0,5266.0,3530.0,849.0,1384.0,25802.0,15775.0,1770.0,1181.0,4268.0,4324.0,1118.0,1588.0,3425.0,2086.0,2636.0,6886.0,6146.0,7720.0,2968.0,1221.0,3510.0,659.0,705.0,1626.0,2154.0,8320.0,767.0,19044.0,N/A,149.0,6909.0,1852.0,2109.0,15330.0,1480.0,30731.0,281.0,10091.0,15192.0,1477.0,578.0,23440.0,5132.0,2402.0,3670.0,115.0,398274.0,282778.0
ND,North Dakota,396.0,116.0,1810.0,112.0,1694.0,1435.0,110.0,140.0,23.0,1168.0,160.0,73.0,706.0,475.0,354.0,472.0,186.0,98.0,120.0,158.0,197.0,146.0,1116.0,19142.0,80.0,579.0,1333.0,552.0,223.0,18.0,310.0,79.0,658.0,704.0,N/A,404.0,209.0,327.0,910.0,110.0,443.0,1867.0,174.0,1793.0,814.0,22.0,206.0,1527.0,17.0,1352.0,546.0,52559.0,45664.0
OH,Ohio,1874.0,216.0,4704.0,571.0,11441.0,4013.0,2730.0,155.0,1017.0,25842.0,7972.0,819.0,294.0,8118.0,12426.0,1260.0,1367.0,14991.0,1155.0,954.0,3273.0,3340.0,27582.0,4896.0,1092.0,3324.0,457.0,449.0,1756.0,824.0,3566.0,954.0,11416.0,9624.0,260.0,N/A,1394.0,1321.0,24182.0,684.0,5782.0,197.0,6324.0,11326.0,1429.0,370.0,6104.0,3046.0,6566.0,4286.0,234.0,252125.0,247977.0
OK,Oklahoma,813.0,476.0,4076.0,6500.0,5555.0,4646.0,442.0,215.0,103.0,3959.0,2063.0,432.0,695.0,1549.0,1110.0,688.0,5833.0,783.0,1274.0,236.0,599.0,870.0,1632.0,1602.0,600.0,4811.0,302.0,1041.0,707.0,204.0,504.0,1178.0,2586.0,1758.0,420.0,876.0,N/A,1040.0,2350.0,20.0,682.0,127.0,2028.0,25272.0,901.0,30.0,2537.0,3013.0,130.0,1744.0,550.0,113611.0,101562.0
OR,Oregon,382.0,1285.0,9471.0,375.0,19943.0,3927.0,872.0,61.0,98.0,2724.0,1125.0,1441.0,5118.0,1322.0,854.0,394.0,506.0,679.0,320.0,516.0,475.0,1832.0,2480.0,1726.0,276.0,1307.0,1843.0,452.0,2676.0,384.0,662.0,986.0,3764.0,1655.0,348.0,1550.0,716.0,N/A,2830.0,394.0,586.0,215.0,1198.0,4396.0,3412.0,540.0,605.0,31245.0,100.0,1936.0,413.0,152197.0,122415.0
PA,Pennsylvania,1834.0,401.0,4727.0,1001.0,13494.0,4464.0,3126.0,11067.0,1945.0,30526.0,6848.0,783.0,670.0,4311.0,2909.0,580.0,916.0,2370.0,1022.0,1238.0,13581.0,6501.0,4064.0,1253.0,718.0,1901.0,438.0,403.0,1860.0,1639.0,22050.0,864.0,23040.0,12908.0,420.0,15290.0,1006.0,1667.0,N/A,824.0,7683.0,82.0,2836.0,11528.0,1780.0,869.0,13192.0,3113.0,5167.0,1529.0,547.0,246929.0,252985.0
RI,Rhode Island,259.0,70.0,232.0,0.0,2045.0,582.0,2828.0,90.0,200.0,3539.0,453.0,197.0,0.0,319.0,46.0,84.0,43.0,65.0,88.0,641.0,525.0,8715.0,215.0,95.0,5.0,154.0,13.0,234.0,150.0,906.0,376.0,82.0,1384.0,934.0,7.0,237.0,131.0,130.0,1036.0,N/A,846.0,113.0,200.0,854.0,162.0,360.0,1506.0,545.0,77.0,75.0,23.0,34864.0,31871.0
SC,South Carolina,2195.0,381.0,1234.0,313.0,5450.0,2005.0,2084.0,347.0,647.0,12975.0,15568.0,1065.0,158.0,1868.0,1524.0,389.0,323.0,1432.0,1203.0,680.0,1710.0,3614.0,4058.0,658.0,836.0,1528.0,217.0,245.0,1087.0,696.0,2754.0,864.0,9446.0,28214.0,250.0,3436.0,822.0,824.0,6718.0,644.0,N/A,503.0,4098.0,7600.0,832.0,214.0,8496.0,2282.0,1313.0,1222.0,127.0,210972.0,147149.0
SD,South Dakota,84.0,281.0,1490.0,75.0,1190.0,1438.0,274.0,4.0,33.0,1191.0,263.0,22.0,126.0,434.0,189.0,2011.0,419.0,103.0,102.0,40.0,74.0,92.0,540.0,9922.0,0.0,704.0,311.0,2323.0,443.0,98.0,142.0,39.0,398.0,635.0,2004.0,206.0,273.0,337.0,816.0,46.0,271.0,N/A,622.0,1524.0,390.0,262.0,198.0,486.0,35.0,944.0,743.0,33257.0,34647.0
TN,Tennessee,9062.0,280.0,2136.0,4749.0,6214.0,3088.0,1134.0,157.0,797.0,15782.0,17387.0,713.0,446.0,5453.0,4109.0,1140.0,1329.0,11643.0,1967.0,654.0,1325.0,2432.0,8954.0,3046.0,10020.0,2892.0,167.0,602.0,979.0,482.0,1572.0,832.0,7254.0,8574.0,554.0,5648.0,1553.0,1013.0,5110.0,850.0,5044.0,338.0,N/A,12343.0,1186.0,398.0,6545.0,2613.0,1289.0,3106.0,135.0,215406.0,185096.0
TX,Texas,7611.0,2431.0,15342.0,15287.0,39343.0,25209.0,5810.0,745.0,1750.0,29051.0,19989.0,3274.0,2921.0,11523.0,7102.0,3415.0,8490.0,5612.0,19554.0,2270.0,5552.0,9086.0,16774.0,10174.0,6047.0,11412.0,2460.0,4440.0,5018.0,2382.0,10602.0,15367.0,23816.0,15217.0,2326.0,10934.0,29345.0,5425.0,18896.0,2332.0,7873.0,1084.0,12576.0,N/A,6637.0,802.0,15759.0,15751.0,1160.0,9422.0,2047.0,629798.0,507445.0
UT,Utah,748.0,694.0,8736.0,639.0,9146.0,3564.0,586.0,42.0,237.0,3620.0,1358.0,932.0,7440.0,1159.0,656.0,345.0,904.0,790.0,379.0,530.0,930.0,1626.0,1444.0,1608.0,175.0,1353.0,1542.0,956.0,5385.0,362.0,346.0,865.0,1734.0,1143.0,277.0,1979.0,846.0,2960.0,2914.0,440.0,871.0,464.0,1027.0,7811.0,N/A,368.0,1833.0,6168.0,191.0,2494.0,1798.0,108946.0,94415.0
VT,Vermont,36.0,49.0,464.0,9.0,817.0,690.0,466.0,120.0,141.0,2186.0,271.0,18.0,101.0,236.0,166.0,73.0,12.0,32.0,39.0,665.0,270.0,2549.0,191.0,50.0,2.0,322.0,64.0,7.0,56.0,2433.0,191.0,53.0,3315.0,738.0,0.0,293.0,137.0,347.0,1123.0,176.0,249.0,0.0,306.0,548.0,149.0,N/A,924.0,457.0,26.0,69.0,2.0,21804.0,21638.0
VA,Virginia,3663.0,764.0,5019.0,1152.0,17578.0,6983.0,4272.0,1420.0,8598.0,27785.0,11605.0,3040.0,892.0,5623.0,2437.0,857.0,1588.0,3172.0,1825.0,1526.0,24373.0,7228.0,6508.0,3384.0,1192.0,2815.0,424.0,897.0,1541.0,1562.0,7758.0,1268.0,20010.0,30852.0,209.0,6459.0,1521.0,2287.0,21674.0,1938.0,8458.0,251.0,8456.0,18032.0,1755.0,886.0,N/A,6233.0,6135.0,3140.0,444.0,321715.0,307489.0
WA,Washington,1315.0,2974.0,15723.0,1034.0,32640.0,6417.0,1414.0,157.0,391.0,6952.0,3197.0,3837.0,10329.0,3799.0,1798.0,1459.0,1551.0,1300.0,1162.0,1166.0,1758.0,3886.0,3976.0,7658.0,991.0,2697.0,4868.0,521.0,5629.0,488.0,2010.0,1647.0,7832.0,4658.0,1156.0,2752.0,1770.0,23944.0,5116.0,1136.0,1909.0,427.0,2592.0,13650.0,5757.0,606.0,5164.0,N/A,277.0,3782.0,923.0,279980.0,218195.0
WV,West Virginia,396.0,60.0,412.0,88.0,748.0,480.0,336.0,186.0,260.0,3313.0,874.0,57.0,172.0,595.0,312.0,192.0,85.0,2816.0,257.0,78.0,3976.0,368.0,1054.0,122.0,590.0,393.0,70.0,79.0,117.0,252.0,798.0,72.0,1816.0,3478.0,61.0,7821.0,200.0,130.0,9354.0,46.0,1993.0,11.0,1267.0,1415.0,181.0,46.0,5516.0,477.0,N/A,514.0,103.0,50854.0,54037.0
WI,Wisconsin,851.0,562.0,5614.0,757.0,6687.0,4293.0,221.0,59.0,255.0,8522.0,2916.0,123.0,213.0,12998.0,2915.0,3763.0,367.0,1276.0,452.0,193.0,1233.0,901.0,4326.0,18372.0,907.0,2384.0,472.0,628.0,843.0,196.0,481.0,298.0,1893.0,2083.0,647.0,2434.0,606.0,870.0,1933.0,147.0,1444.0,639.0,1433.0,5464.0,982.0,59.0,1414.0,2332.0,206.0,N/A,224.0,111452.0,108888.0
WY,Wyoming,140.0,240.0,1135.0,386.0,1706.0,3646.0,94.0,0.0,15.0,519.0,700.0,45.0,1800.0,278.0,204.0,220.0,355.0,146.0,103.0,158.0,81.0,104.0,1064.0,974.0,122.0,417.0,2159.0,888.0,775.0,0.0,112.0,614.0,236.0,443.0,458.0,185.0,340.0,771.0,392.0,0.0,147.0,1132.0,208.0,1534.0,1754.0,236.0,171.0,790.0,0.0,878.0,N/A,29462.0,28875.0
