abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
OK,Oklahoma,568.0,579.0,2574.0,7642.0,8482.0,4947.0,392.0,166.0,127.0,4116.0,2271.0,751.0,399.0,2759.0,1248.0,819.0,6722.0,843.0,2083.0,206.0,754.0,1050.0,3910.0,1698.0,875.0,4381.0,420.0,685.0,818.0,350.0,1012.0,1867.0,3496.0,1852.0,209.0,1394.0,N/A,716.0,2012.0,262.0,822.0,273.0,1553.0,29345.0,846.0,274.0,1521.0,1770.0,200.0,1212.0,340.0
OR,Oregon,304.0,2240.0,6653.0,615.0,42460.0,3707.0,1006.0,180.0,342.0,3507.0,1234.0,2889.0,5277.0,2445.0,848.0,626.0,1111.0,498.0,1106.0,804.0,961.0,2782.0,3210.0,2658.0,388.0,1148.0,2143.0,412.0,3205.0,598.0,1260.0,1356.0,5708.0,2109.0,327.0,1321.0,1040.0,N/A,3334.0,260.0,824.0,337.0,1013.0,5425.0,2960.0,694.0,2287.0,23944.0,130.0,1740.0,771.0
PA,Pennsylvania,1613.0,587.0,2945.0,751.0,11018.0,3062.0,4905.0,6631.0,1834.0,16049.0,5163.0,900.0,438.0,4421.0,2528.0,527.0,919.0,1646.0,972.0,1272.0,18968.0,6196.0,2681.0,1887.0,930.0,1162.0,166.0,765.0,832.0,1433.0,41267.0,661.0,39412.0,7665.0,455.0,12091.0,1175.0,1415.0,N/A,1036.0,3359.0,408.0,2555.0,9448.0,1457.0,1123.0,10837.0,2558.0,4677.0,1933.0,196.0
RI,Rhode Island,85.0,38.0,347.0,59.0,2075.0,349.0,3823.0,9.0,49.0,2857.0,375.0,23.0,86.0,450.0,93.0,130.0,50.0,80.0,88.0,401.0,410.0,11249.0,280.0,33.0,77.0,183.0,108.0,55.0,53.0,672.0,1371.0,26.0,2673.0,740.0,55.0,342.0,10.0,197.0,824.0,N/A,322.0,23.0,425.0,1166.0,220.0,176.0,969.0,568.0,23.0,147.0,0.0
SC,South Carolina,2317.0,398.0,1619.0,759.0,7235.0,1803.0,8106.0,510.0,631.0,14872.0,15240.0,849.0,307.0,3989.0,2489.0,620.0,862.0,2430.0,1583.0,1262.0,5588.0,6156.0,5494.0,1606.0,937.0,1954.0,288.0,294.0,753.0,1648.0,10848.0,721.0,21570.0,30731.0,443.0,5782.0,682.0,586.0,15366.0,1692.0,N/A,271.0,5044.0,7873.0,871.0,498.0,8458.0,1909.0,1993.0,2888.0,147.0
SD,South Dakota,127.0,140.0,579.0,153.0,2645.0,1101.0,10.0,0.0,0.0,692.0,427.0,87.0,155.0,822.0,388.0,2931.0,567.0,31.0,409.0,20.0,169.0,130.0,296.0,8504.0,77.0,361.0,462.0,2435.0,190.0,90.0,290.0,164.0,240.0,281.0,1867.0,197.0,127.0,215.0,164.0,226.0,503.0,N/A,338.0,1084.0,464.0,0.0,251.0,427.0,11.0,1278.0,1132.0
TN,Tennessee,8366.0,926.0,2067.0,5597.0,9893.0,2685.0,3010.0,431.0,266.0,19587.0,15418.0,866.0,398.0,9370.0,5632.0,783.0,1794.0,12850.0,2424.0,1786.0,1671.0,4730.0,10696.0,2842.0,9828.0,3375.0,413.0,676.0,841.0,742.0,3586.0,620.0,11026.0,10091.0,174.0,6324.0,2028.0,1198.0,5672.0,400.0,4098.0,622.0,N/A,12576.0,1027.0,612.0,8456.0,2592.0,1267.0,2866.0,208.0
TX,Texas,8168.0,3147.0,18929.0,13548.0,73914.0,21111.0,5406.0,1400.0,1257.0,35709.0,18053.0,5803.0,2343.0,22824.0,9137.0,5601.0,11699.0,5856.0,28818.0,2160.0,10263.0,13246.0,19392.0,13448.0,9632.0,15676.0,1766.0,3903.0,7322.0,2522.0,17960.0,17691.0,43418.0,15192.0,1793.0,11326.0,25272.0,4396.0,23056.0,1708.0,7600.0,1524.0,12343.0,N/A,7811.0,1096.0,18032.0,13650.0,1415.0,10928.0,1534.0
UT,Utah,511.0,1094.0,7616.0,667.0,18513.0,4681.0,1612.0,86.0,280.0,2410.0,1670.0,1672.0,7753.0,1970.0,1106.0,494.0,582.0,628.0,473.0,192.0,918.0,1514.0,1758.0,1644.0,385.0,1409.0,1818.0,494.0,4769.0,440.0,1654.0,1142.0,4320.0,1477.0,814.0,1429.0,901.0,3412.0,3560.0,324.0,832.0,390.0,1186.0,6637.0,N/A,298.0,1755.0,5757.0,181.0,1964.0,1754.0
VT,Vermont,71.0,142.0,134.0,0.0,1042.0,471.0,1256.0,17.0,217.0,1044.0,146.0,49.0,36.0,426.0,22.0,60.0,11.0,235.0,33.0,696.0,463.0,3737.0,287.0,118.0,0.0,53.0,25.0,25.0,145.0,2545.0,1135.0,117.0,3079.0,289.0,11.0,185.0,15.0,270.0,869.0,360.0,107.0,131.0,199.0,401.0,184.0,N/A,443.0,303.0,23.0,59.0,118.0
VA,Virginia,2954.0,1148.0,2729.0,926.0,18867.0,4086.0,7264.0,1363.0,10194.0,20507.0,8847.0,2942.0,285.0,7503.0,2222.0,1275.0,1624.0,3189.0,2918.0,2016.0,27335.0,9126.0,8290.0,3450.0,1389.0,3238.0,306.0,912.0,1614.0,1644.0,17312.0,1700.0,31894.0,23440.0,206.0,6104.0,2537.0,605.0,26384.0,3012.0,8496.0,198.0,6545.0,15759.0,1833.0,1848.0,N/A,5164.0,5516.0,2828.0,171.0
WA,Washington,997.0,5034.0,11956.0,941.0,49860.0,9053.0,3090.0,274.0,1192.0,9186.0,4450.0,4543.0,11368.0,6486.0,1487.0,761.0,2220.0,964.0,1342.0,1194.0,3310.0,7370.0,7680.0,6604.0,580.0,2590.0,5258.0,1090.0,3699.0,1648.0,6306.0,2030.0,13760.0,5132.0,1527.0,3046.0,3013.0,31245.0,6226.0,1090.0,2282.0,486.0,2613.0,15751.0,6168.0,914.0,6233.0,N/A,477.0,4664.0,790.0
WV,West Virginia,237.0,73.0,159.0,123.0,773.0,583.0,814.0,244.0,354.0,2549.0,777.0,38.0,75.0,381.0,558.0,70.0,184.0,1405.0,167.0,410.0,5135.0,584.0,1164.0,268.0,157.0,198.0,17.0,78.0,63.0,166.0,1054.0,57.0,1372.0,2402.0,17.0,6566.0,130.0,100.0,10334.0,154.0,1313.0,35.0,1289.0,1160.0,191.0,52.0,6135.0,277.0,N/A,412.0,0.0
WI,Wisconsin,598.0,423.0,2408.0,589.0,5604.0,2848.0,665.0,192.0,281.0,4540.0,1782.0,367.0,443.0,25954.0,2715.0,4106.0,826.0,1168.0,1019.0,332.0,592.0,785.0,5186.0,19050.0,623.0,2135.0,266.0,562.0,791.0,250.0,802.0,736.0,1896.0,1835.0,676.0,2143.0,872.0,968.0,1529.0,75.0,611.0,472.0,1553.0,4711.0,1247.0,69.0,1570.0,1891.0,257.0,N/A,439.0
WY,Wyoming,471.0,271.0,672.0,252.0,2315.0,4951.0,176.0,59.0,7.0,426.0,173.0,39.0,1136.0,297.0,212.0,324.0,240.0,258.0,162.0,436.0,19.0,156.0,692.0,904.0,13.0,411.0,1219.0,1042.0,857.0,350.0,378.0,402.0,372.0,115.0,546.0,234.0,550.0,413.0,1094.0,46.0,127.0,743.0,135.0,2047.0,1798.0,4.0,444.0,923.0,103.0,448.0,N/A
